,Metabolites,Odds ratio (recurr / cleared)
6,mevalonate,1.1569713354110718
10,N-palmitoyl-phytosphingosine (t18:0/16:0),1.1548429727554321
11,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,1.1544198989868164
12,3-(3-hydroxyphenyl)propionate,1.1539493799209595
13,homocitrulline,1.1533077955245972
14,3-indoleglyoxylic acid,1.152692437171936
24,betaine,1.147704839706421
27,N-carbamoylaspartate,1.1458567380905151
31,"ceramide (d18:2/24:1, d18:1/24:2)*",1.1424241065979004
32,"androstenediol (3beta,17beta) disulfate (2)",1.1411546468734741
36,arabinose,1.1383390426635742
37,margaroylcarnitine (C17)*,1.137946605682373
38,pterin,1.1378222703933716
39,bilirubin,1.1374292373657227
40,indoleacetate,1.1370790004730225
42,cysteine s-sulfate,1.135815143585205
43,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1.135666012763977
44,hydantoin-5-propionate,1.1337870359420776
45,cystine,1.1334772109985352
46,5-hydroxylysine,1.1331250667572021
47,taurolithocholate 3-sulfate,1.1318985223770142
48,ergosterol,1.131897211074829
49,methylmalonate (MMA),1.131555438041687
51,3-hydroxydodecanedioate*,1.1308900117874146
52,linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,1.1284438371658325
55,1-methylhypoxanthine,1.1267770528793335
57,pyrraline,1.1247628927230835
63,carotene diol (1),1.1218820810317993
67,tyrosol,1.1187467575073242
68,sucrose,1.1186952590942383
69,2-hydroxylignocerate*,1.1183580160140991
71,decadienedioic acid (C10:2-DC),1.1151845455169678
75,phosphocholine,1.1145410537719727
76,(3'-5')-adenylyluridine,1.114436149597168
77,methylphosphate,1.1143184900283813
79,25-hydroxycholesterol sulfate,1.1134059429168701
80,glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,1.1132636070251465
82,4-imidazoleacetate,1.1131800413131714
85,1-methyladenine,1.1118072271347046
86,"N,N,N-trimethyl-alanylproline betaine (TMAP)",1.111769676208496
88,octadecenedioylcarnitine (C18:1-DC)*,1.1102789640426636
89,biocytin,1.110172986984253
90,coumaroylquinate (1),1.1101188659667969
91,delta-tocopherol,1.1100748777389526
93,3-hydroxystachydrine*,1.108978509902954
94,glycyrrhetinate,1.108331561088562
95,1-oleoyl-GPC (18:1),1.107906699180603
96,gamma-glutamylglycine,1.107337474822998
97,2-hydroxy-4-(methylthio)butanoic acid,1.1068953275680542
99,(3'-5')-adenylylguanosine*,1.1066545248031616
100,N-butyryl-leucine,1.1064239740371704
105,3-dehydroshikimate,1.1051125526428223
106,palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,1.1048388481140137
109,uridine,1.1037883758544922
110,tartronate (hydroxymalonate),1.1034715175628662
111,3-hydroxydecanoate,1.1031042337417603
113,"1,3-propanediol",1.1022670269012451
115,butyrylglycine (C4),1.1010829210281372
117,3-amino-2-piperidone,1.1004115343093872
118,"1,5-anhydroglucitol (1,5-AG)",1.10017728805542
119,1-methylhistidine,1.1000276803970337
123,valerate (5:0),1.0988976955413818
125,"2S,3R-dihydroxybutyrate",1.0986237525939941
126,benzoate,1.0981781482696533
127,heptadecatrienoate (17:3)*,1.0981531143188477
128,gamma-glutamylthreonine,1.0981005430221558
129,o-Tyrosine,1.097165822982788
130,stachydrine,1.0969008207321167
132,p-cresol,1.096608281135559
133,oxalate (ethanedioate),1.0965731143951416
134,4-acetamidobenzoate,1.0963853597640991
135,2-stearoyl-GPE (18:0)*,1.0963269472122192
136,phenyllactate (PLA),1.0963155031204224
137,isocaproate (i6:0),1.0960941314697266
138,vanillate,1.0960370302200317
139,piperine,1.0958925485610962
140,erucate (22:1n9),1.095320224761963
141,N-butyryl-isoleucine,1.095062017440796
142,1-ribosyl-imidazoleacetate*,1.0949896574020386
148,ribulonate/xylulonate/lyxonate*,1.0926851034164429
150,methionine sulfoxide,1.0912584066390991
151,N-palmitoyl-sphingosine (d18:1/16:0),1.0907433032989502
152,hydroxymethylpyrimidine,1.0896666049957275
153,gulonate*,1.0895482301712036
159,stigmasterol,1.0873184204101562
160,biopterin,1.086907982826233
161,trimethylamine N-oxide,1.086753487586975
163,"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",1.0862669944763184
164,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1.0861504077911377
165,palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,1.0860514640808105
167,N-methylphenylalanine,1.0859390497207642
168,tryptophan,1.0859183073043823
169,N-acetylglutamine,1.0857406854629517
171,N6-acetyllysine,1.0852121114730835
172,methyl indole-3-acetate,1.085153341293335
173,mannonate*,1.0850491523742676
176,methionine sulfone,1.0844558477401733
181,methylsuccinate,1.081722378730774
183,4-hydroxybenzoate,1.080930471420288
184,N-acetylglycine,1.080676794052124
185,azelate (C9-DC),1.0802909135818481
187,3-methylglutaconate,1.0796066522598267
188,3-ureidopropionate,1.0787290334701538
190,(R)-salsolinol,1.0777976512908936
191,2-methylmalonylcarnitine (C4-DC),1.077691912651062
192,gluconate,1.077309012413025
195,carnitine,1.076059341430664
197,undecenoylcarnitine (C11:1),1.0759133100509644
198,gamma-glutamylserine,1.075323462486267
199,"ceramide (d18:1/17:0, d17:1/18:0)*",1.0752757787704468
200,N-acetyltaurine,1.075247883796692
201,"7,12-diketolithocholate",1.0751200914382935
203,"3,4-dihydroxybenzoate",1.0747045278549194
204,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",1.0743069648742676
205,adenosine,1.0740426778793335
207,1-palmitoyl-GPC (16:0),1.072465419769287
209,2-hydroxypalmitate,1.0715609788894653
210,leucylglycine,1.0715503692626953
211,"bilirubin (E,Z or Z,E)*",1.0708593130111694
213,propionylglycine (C3),1.070464015007019
216,ornithine,1.0687464475631714
217,1-linoleoyl-GPC (18:2),1.0686901807785034
218,gamma-glutamyl-epsilon-lysine,1.0685937404632568
219,3-hydroxystearate,1.0685137510299683
221,dodecanedioate (C12),1.0681490898132324
222,(S)-a-amino-omega-caprolactam,1.0681065320968628
224,dihydroorotate,1.067611575126648
225,21-hydroxypregnanolone monosulfate (1),1.067519187927246
226,2-hydroxy-3-methylvalerate,1.0674418210983276
227,sulfate of piperine metabolite C16H19NO3 (2)*,1.0673997402191162
228,glycerol 3-phosphate,1.0672138929367065
229,"5,6-dihydrothymine",1.0669907331466675
230,gamma-CEHC sulfate,1.066528558731079
231,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.0664466619491577
232,paraxanthine,1.0664238929748535
235,"1,6-anhydroglucose",1.065735936164856
236,taurocholate,1.065690517425537
237,2'-O-methyluridine,1.065420389175415
238,2-acetamidobutanoate,1.0653995275497437
240,kynurenate,1.0651441812515259
242,PAHSA (16:0/OH-18:0),1.0649605989456177
249,"5,6-dihydrouridine",1.0625747442245483
250,1-margaroylglycerol (17:0),1.062390685081482
251,N-acetyl-beta-alanine,1.0622340440750122
252,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.0617353916168213
257,5-(galactosylhydroxy)-L-lysine,1.0600882768630981
259,3-hydroxymargarate,1.0596286058425903
261,(3'-5')-adenylyladenosine*,1.0593081712722778
264,N-acetylmethionine sulfoxide,1.0589735507965088
265,arabitol/xylitol,1.0578721761703491
266,heptanoate (7:0),1.0576151609420776
267,caffeic acid sulfate,1.0573325157165527
268,lanosterol,1.057165265083313
269,sarcosine,1.0567398071289062
270,1-palmitoyl-digalactosylglycerol (16:0)*,1.0563486814498901
271,3-hydroxyisobutyrate,1.0560380220413208
272,oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*,1.0557003021240234
274,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",1.0555394887924194
275,tryptamine,1.0553606748580933
276,"bilirubin degradation product, C16H18N2O5 (1)",1.055245280265808
278,3-hydroxysebacate,1.0545330047607422
279,"5alpha-pregnan-3beta,20alpha-diol disulfate",1.0542099475860596
280,alpha-hydroxyisovalerate,1.0539888143539429
282,"2,3-dihydroxyisovalerate",1.0539076328277588
284,1-stearoyl-2-oleoyl-GPC (18:0/18:1),1.0534783601760864
286,orotidine,1.0529910326004028
287,gamma-glutamylcysteine,1.0524870157241821
290,N-acetylaspartate (NAA),1.0520074367523193
291,imidazole lactate,1.0519676208496094
292,saccharin,1.051942229270935
293,N-oleoylglycine,1.0517653226852417
294,tauroursodeoxycholate,1.0516947507858276
297,2-O-methylascorbic acid,1.05144464969635
298,"2,4-dihydroxybutyrate",1.051403284072876
299,ribulose/xylulose,1.0506486892700195
301,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,1.0504732131958008
304,behenoyl ethanolamide (22:0)*,1.050360918045044
305,1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,1.050246000289917
308,linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,1.0499082803726196
309,p-cresol sulfate,1.0498865842819214
310,1-methyladenosine,1.04988431930542
311,2-hydroxyphenylacetate,1.0498698949813843
312,vanillactate,1.04977548122406
313,pyridoxine (Vitamin B6),1.0497169494628906
317,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",1.0479037761688232
321,indolelactate,1.0468990802764893
323,thymine,1.0466848611831665
325,"1,2-dipalmitoyl-GPC (16:0/16:0)",1.0460036993026733
327,pimelate (C7-DC),1.0453253984451294
328,N-methylleucine,1.045303225517273
329,tartarate,1.0452930927276611
333,pregnenetriol disulfate*,1.0449093580245972
335,alpha-ketoglutaramate*,1.0445408821105957
336,mannitol/sorbitol,1.0445207357406616
337,fucosterol,1.0439797639846802
338,"ceramide (d16:1/24:1, d18:1/22:1)*",1.0437248945236206
340,4-hydroxyhippurate,1.0433242321014404
342,1-stearoyl-GPA (18:0),1.043100357055664
344,5-hydroxymethylfurfural,1.042617917060852
346,citrate,1.0422837734222412
349,5-methylcytosine,1.0416159629821777
350,"bilirubin degradation product, C17H18N2O4 (1)",1.041293740272522
351,ethylmalonate,1.041280746459961
352,tetradecadienoate (14:2)*,1.0411903858184814
353,taurine,1.0411266088485718
355,myo-inositol,1.0393861532211304
357,4-ureidobutyrate,1.0391826629638672
359,"2,3-dihydroxy-2-methylbutyrate",1.0387309789657593
360,threonate,1.0385842323303223
361,tryptophan betaine,1.0384907722473145
363,succinate,1.0369799137115479
364,N-acetylthreonine,1.0368515253067017
366,16a-hydroxy DHEA 3-sulfate,1.0367636680603027
367,"N6,N6,N6-trimethyllysine",1.0365978479385376
368,1-palmitoyl-GPG (16:0)*,1.0361895561218262
369,N(1)-acetylspermine,1.0359580516815186
370,3-aminoisobutyrate,1.0358593463897705
371,5-hydroxypicolinic acid,1.0358015298843384
372,glycerophosphoethanolamine,1.0354136228561401
373,N-behenoyl-sphingadienine (d18:2/22:0)*,1.035207748413086
374,3-methylurate*,1.0350006818771362
375,salicylate,1.0346828699111938
378,sulfate of piperine metabolite C18H21NO3 (1)*,1.0342012643814087
380,soyasaponin I,1.0338362455368042
381,4-methylcatechol sulfate,1.0336734056472778
383,3-hydroxyphenylacetate,1.0330711603164673
384,GlcNAc sulfate conjugate of C21H34O2 steroid,1.0328595638275146
385,N-acetylarginine,1.0324628353118896
386,3-hydroxybutyroylglycine,1.0323472023010254
389,isovitexin,1.0322366952896118
391,daidzein,1.0321295261383057
394,2-hydroxyheptanoate*,1.0310875177383423
396,beta-citrylglutamate,1.0307039022445679
398,N-acetyltryptophan,1.0305538177490234
399,propionylglutamine,1.0302009582519531
400,"1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*",1.0297093391418457
401,N-acetylmethionine,1.0296584367752075
402,2-hydroxybutyrate/2-hydroxyisobutyrate,1.029403567314148
403,ferulylglycine (1),1.02910578250885
405,genistein,1.0285950899124146
406,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,1.0282460451126099
407,2'-deoxyguanosine,1.028130054473877
408,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],1.0281298160552979
409,"5,6-dihydrouracil",1.0280792713165283
410,palmitoyl sphingomyelin (d18:1/16:0),1.0277340412139893
411,phenylalanylalanine,1.0275042057037354
412,"bilirubin (E,E)*",1.0273081064224243
413,carotene diol (2),1.0271488428115845
414,carboxy-methyl-arginine,1.027014970779419
418,hyocholate,1.0268665552139282
419,3-hydroxyoleoylcarnitine,1.0265381336212158
420,cadaverine,1.0257436037063599
421,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1.0257282257080078
427,biliverdin,1.024707317352295
430,alpha-CEHC sulfate,1.024295687675476
433,2-hydroxybehenate,1.0236724615097046
435,ascorbic acid 2-sulfate,1.023176670074463
436,valerylglycine (C5),1.022947907447815
437,1-palmitoyl-GPS (16:0)*,1.0228404998779297
439,3-(4-hydroxyphenyl)lactate (HPLA),1.0223287343978882
440,catechol sulfate,1.022316813468933
441,N-acetyl-aspartyl-glutamate (NAAG),1.0221540927886963
442,phosphate,1.022058129310608
443,"2R,3R-dihydroxybutyrate",1.0219604969024658
444,2-methylcitrate/homocitrate,1.02189302444458
449,acisoga,1.0215426683425903
450,ferulylglycine (2),1.021438717842102
452,(3'-5')-uridylyluridine,1.0207232236862183
453,3-hydroxyoctanoate,1.0204741954803467
454,palmitoleoylcarnitine (C16:1)*,1.0201867818832397
457,pyridoxal,1.0198711156845093
458,1-stearoyl-GPI (18:0),1.0195821523666382
459,"9,10-DiHOME",1.0192394256591797
460,stearoyl sphingomyelin (d18:1/18:0),1.0191456079483032
462,sedoheptulose,1.0191147327423096
464,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",1.0189270973205566
465,androsterone sulfate,1.0188289880752563
466,N-methylalanine,1.018752098083496
467,beta-guanidinopropanoate,1.0185036659240723
468,7-ketodeoxycholate,1.0182069540023804
469,3-methylglutarate/2-methylglutarate,1.0180308818817139
470,luteolin,1.0180156230926514
473,threonine,1.0178987979888916
474,"N2,N5-diacetylornithine",1.0178160667419434
475,"sphingomyelin (d18:1/14:0, d16:1/16:0)*",1.017809271812439
476,gamma-tocopherol/beta-tocopherol,1.017676591873169
477,taurocholenate sulfate*,1.0173823833465576
478,stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*,1.0172964334487915
479,xylose,1.0172241926193237
480,phenylacetylglutamate,1.0172080993652344
481,"bilirubin degradation product, C17H20N2O5 (2)",1.0170096158981323
482,beta-cryptoxanthin,1.016990303993225
483,dopamine,1.0169790983200073
484,gamma-glutamylglutamate,1.0168715715408325
485,glycoursodeoxycholate,1.0168553590774536
486,sucralose,1.0166759490966797
488,10-undecenoate (11:1n1),1.0162768363952637
490,phenylacetylaspartate,1.0158156156539917
495,arachidonoyl ethanolamide,1.014972448348999
496,lactate,1.0148429870605469
497,diacetylspermidine*,1.0148324966430664
498,pseudouridine,1.0146844387054443
499,retinol (Vitamin A),1.0145018100738525
501,saccharopine,1.0142745971679688
504,N-carbamoylputrescine,1.014110803604126
510,lignoceroyl sphingomyelin (d18:1/24:0),1.0137161016464233
511,4-hydroxyphenylacetate,1.013439655303955
512,pyruvate,1.0133260488510132
513,gamma-CEHC,1.0128437280654907
517,(14 or 15)-methylpalmitate (a17:0 or i17:0),1.012229561805725
518,4-acetamidobutanoate,1.0121207237243652
519,2-palmitoyl-GPC* (16:0)*,1.0120649337768555
520,docosapentaenoate (n6 DPA; 22:5n6),1.0120576620101929
524,N6-carboxymethyllysine,1.0110268592834473
526,2-hydroxyglutarate,1.0108028650283813
528,1-stearoyl-GPC (18:0),1.0106375217437744
530,3-hydroxytridecanoate,1.0100759267807007
531,3-methylhistidine,1.009993314743042
532,tyramine,1.0095865726470947
533,2-methylserine,1.0091651678085327
534,3-hydroxyisonicotinic acid,1.0090041160583496
535,5-methylthioadenosine (MTA),1.008996605873108
537,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",1.0088921785354614
539,palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,1.0088868141174316
540,2-isopropylmalate,1.0088623762130737
541,4-cholesten-3-one,1.0088528394699097
542,N-carbamoylalanine,1.0086866617202759
543,erucoylcarnitine (C22:1)*,1.0086058378219604
544,levulinate (4-oxovalerate),1.0085645914077759
545,glycolithocholate sulfate*,1.0083404779434204
546,spermidine,1.0083160400390625
547,steviol,1.0080316066741943
548,glutamine conjugate of C8H12O2 (2)*,1.007827877998352
553,sulfate*,1.0075324773788452
554,N-stearoyl-sphinganine (d18:0/18:0)*,1.0074485540390015
557,nicotinamide,1.0070958137512207
558,N-acetylleucine,1.006973385810852
560,histidine betaine (hercynine)*,1.0065393447875977
562,N-acetylglucosaminylasparagine,1.0063742399215698
563,caprate (10:0),1.0062782764434814
565,malonate,1.0060962438583374
569,tricarballylate,1.0054879188537598
570,coumaroylquinate (5),1.005474328994751
571,phenol sulfate,1.005313515663147
572,N-acetylhomocitrulline,1.005226492881775
573,5-(2-Hydroxyethyl)-4-methylthiazole,1.0051474571228027
576,indole,1.0049480199813843
577,serotonin,1.0049153566360474
578,pregnenetriol sulfate*,1.004862904548645
579,"hydroxy-N6,N6,N6-trimethyllysine*",1.0047924518585205
580,2'-deoxyinosine,1.0046393871307373
581,allantoin,1.0045830011367798
582,piperidine,1.0045758485794067
585,N-acetylglucosamine conjugate of C24H40O4 bile acid,1.004361629486084
586,"sphingomyelin (d18:0/18:0, d19:0/17:0)*",1.0043575763702393
588,glycerophosphoinositol*,1.0042883157730103
590,digalacturonic acid,1.0040420293807983
592,N-acetylglutamate,1.0039143562316895
593,galactosylglycerol,1.0038831233978271
595,gamma-tocotrienol,1.0037968158721924
596,meglumine,1.003766417503357
601,1-methyl-5-imidazoleacetate,1.0033060312271118
603,stearoylcarnitine (C18),1.0030616521835327
605,hexadecatrienoate (16:3n3),1.003015160560608
606,N-acetylhistidine,1.0029789209365845
607,theanine,1.0029762983322144
616,suberoylcarnitine (C8-DC),1.002387523651123
617,succinylglutamine,1.0022109746932983
618,lactobacillic acid,1.0022063255310059
619,decanoylcarnitine (C10),1.0021790266036987
620,chlorogenate,1.002118706703186
624,agmatine,1.0017677545547485
625,syringaldehyde,1.001462697982788
628,2-oxoarginine*,1.001276969909668
630,"bilirubin degradation product, C16H18N2O5 (3)",1.001156210899353
631,3-sulfo-L-alanine,1.0010836124420166
633,5-dodecenoylcarnitine (C12:1),1.0009851455688477
636,deoxymugineic acid,1.0008717775344849
637,malonylcarnitine,1.0008143186569214
638,1-methyl-4-imidazoleacetate,1.0007824897766113
641,4-hydroxycinnamate,1.000451683998108
643,hesperetin,1.000445008277893
645,2'-deoxycytidine,1.0003623962402344
646,(S)-3-hydroxybutyrylcarnitine,1.0003485679626465
647,1-methylguanidine,1.000335931777954
649,gamma-glutamylhistidine,1.000314712524414
650,N2-acetyllysine,1.000301718711853
651,alpha-hydroxyisocaproate,1.000285029411316
652,N-palmitoyltaurine,1.0002403259277344
653,1-(1-enyl-oleoyl)-GPE (P-18:1)*,1.0002285242080688
654,10-hydroxystearate,1.000214695930481
655,3-hydroxydecanoylcarnitine,1.0002055168151855
657,eicosapentaenoate (EPA; 20:5n3),1.0001821517944336
661,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,1.0001623630523682
664,pheophorbide A,1.0001550912857056
665,3-hydroxyhexanoylcarnitine (1),1.0001537799835205
667,Flavone derivative C26H28O14 (3)*,1.0001490116119385
668,N-acetylpyrraline,1.0001482963562012
670,lignoceroyl ethanolamide (24:0)*,1.0001460313796997
671,dehydroepiandrosterone sulfate (DHEA-S),1.0001451969146729
672,phenethylamine,1.000144124031067
673,21-hydroxypregnenolone disulfate,1.0001434087753296
674,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),1.0001420974731445
675,3-formylindole,1.0001416206359863
676,Flavone derivative C26H28O14 (5)*,1.0001411437988281
680,norvaline,1.000136137008667
682,glycocholenate sulfate*,1.0001320838928223
687,4-methyl-2-oxopentanoate,1.0001258850097656
688,carotene diol (3),1.0001176595687866
691,N-acetylneuraminate,1.0001139640808105
692,deoxycholic acid 12-sulfate*,1.0001124143600464
693,linoleate (18:2n6),1.0001096725463867
694,beta-alanine,1.0001084804534912
695,N-stearoyl-sphingosine (d18:1/18:0)*,1.000108242034912
696,N-acetylglucosamine conjugate of C24H38O4 bile acid,1.0001072883605957
697,"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",1.000106930732727
698,5-methyluridine (ribothymidine),1.0001064538955688
700,5-oxoproline,1.0001024007797241
705,N-palmitoylglycine,1.000098705291748
706,3-hydroxypalmitoylcarnitine,1.000098705291748
708,N-oleoylserine,1.0000959634780884
710,tryptophylglycine,1.0000947713851929
712,oleoylcarnitine (C18:1),1.000092625617981
714,1-palmitoyl-GPI* (16:0),1.0000921487808228
717,glycerophosphoserine*,1.000091314315796
718,solanidine,1.0000910758972168
719,2-hydroxyadipate,1.00009024143219
720,N-butyryl-phenylalanine,1.000089168548584
725,acetylagmatine,1.0000869035720825
727,1-linoleoyl-digalactosylglycerol (18:2)*,1.0000859498977661
728,2-palmitoyl-galactosylglycerol (16:0)*,1.0000838041305542
730,glutamine conjugate of C6H10O2 (2)*,1.000083088874817
738,acesulfame,1.0000767707824707
741,histamine,1.0000752210617065
742,8-hydroxyoctanoate,1.0000749826431274
743,diosmetin,1.0000746250152588
744,gamma-glutamylmethionine,1.0000739097595215
745,dodecenedioate (C12:1-DC)*,1.0000734329223633
746,homo-cis-aconitate,1.0000733137130737
747,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",1.0000721216201782
749,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,1.0000717639923096
750,3b-hydroxy-5-cholenoic acid,1.0000711679458618
751,ursodeoxycholate,1.0000696182250977
752,tyramine O-sulfate,1.0000686645507812
753,chenodeoxycholic acid sulfate (2),1.0000683069229126
759,1-linoleoyl-GPA (18:2)*,1.0000661611557007
760,"1,3-dimethylurate",1.0000659227371216
771,eicosenoylcarnitine (C20:1)*,1.0000602006912231
774,2-keto-3-deoxy-gluconate,1.0000584125518799
775,"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",1.0000582933425903
777,hexadecenedioate (C16:1-DC)*,1.000057339668274
778,dCMP,1.0000572204589844
780,maleate,1.000056505203247
783,histidine,1.0000548362731934
786,1-methylurate,1.0000536441802979
787,"5alpha-androstan-3alpha,17alpha-diol disulfate",1.0000526905059814
791,4-hydroxyglutamate,1.0000512599945068
796,behenoyl sphingomyelin (d18:1/22:0)*,1.0000489950180054
798,valylleucine,1.0000485181808472
799,arachidoylcarnitine (C20)*,1.000048041343689
800,"bilirubin degradation product, C16H18N2O5 (2)",1.0000473260879517
803,nicotinate ribonucleoside,1.0000454187393188
804,chrysoeriol,1.0000450611114502
806,pantoate,1.000044584274292
807,"androstenediol (3beta,17beta) disulfate (1)",1.0000430345535278
808,tetrahydrocortisol disulfate,1.0000429153442383
810,hypotaurine,1.0000425577163696
811,lignoceroylcarnitine (C24)*,1.0000420808792114
812,hexadecanedioate (C16),1.0000417232513428
815,sebacate (C10-DC),1.0000404119491577
816,glutarylcarnitine (C5-DC),1.0000402927398682
817,1-linolenoylglycerol (18:3),1.0000401735305786
818,guanosine,1.0000394582748413
820,2-oxo-1-pyrrolidinepropionate,1.0000392198562622
822,3-methylglutarylcarnitine (2),1.000038504600525
827,fructosyllysine,1.0000364780426025
831,S-methylcysteine,1.0000358819961548
832,1-palmitoyl-GPA (16:0),1.0000351667404175
834,diaminopimelate,1.000035047531128
835,"5alpha-androstan-3alpha,17beta-diol disulfate",1.000035047531128
838,3-methyl-2-oxovalerate,1.0000333786010742
839,adipoylcarnitine (C6-DC),1.0000330209732056
843,fumarate,1.0000321865081787
844,linolenate (18:3n3 or 3n6),1.000031590461731
845,N-acetylproline,1.0000313520431519
847,carnosine,1.000030755996704
849,undecanedioate (C11-DC),1.0000298023223877
851,naringenin,1.0000286102294922
854,uracil,1.0000276565551758
855,arachidonate (20:4n6),1.0000274181365967
857,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],1.0000272989273071
858,N-methyl-GABA,1.0000272989273071
861,N-acetyl-cadaverine,1.0000258684158325
862,N1-methylinosine,1.0000256299972534
863,taurochenodeoxycholate,1.0000255107879639
866,beta-hydroxyisovalerate,1.0000243186950684
869,tyrosine,1.0000230073928833
871,N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),1.0000224113464355
872,2-hydroxyarachidate*,1.00002121925354
873,2-piperidinone,1.0000208616256714
876,hexadecadienoate (16:2n6),1.0000189542770386
877,"bilirubin degradation product, C17H18N2O4 (2)",1.0000184774398804
878,palmitoylcarnitine (C16),1.0000183582305908
879,prolylhydroxyproline,1.0000178813934326
880,ciliatine (2-aminoethylphosphonate),1.0000178813934326
882,propionylcarnitine (C3),1.0000174045562744
883,creatinine,1.0000174045562744
884,N-oleoyl-sphingosine (d18:1/18:1)*,1.0000174045562744
886,"ceramide (d18:1/14:0, d16:1/16:0)*",1.0000165700912476
887,lactose,1.0000163316726685
890,hydroxyproline,1.0000144243240356
892,docosapentaenoate (DPA; 22:5n3),1.000014305114746
893,3-dehydrochenodeoxycholate,1.0000139474868774
894,docosahexaenoate (DHA; 22:6n3),1.0000135898590088
895,4-chlorobenzoic acid,1.0000126361846924
896,"N,N-dimethyl-5-aminovalerate",1.0000123977661133
899,maltol,1.0000108480453491
900,glycoursodeoxycholic acid sulfate (1),1.0000098943710327
901,1-oleoyl-GPE (18:1),1.000009298324585
902,vanillin,1.0000090599060059
904,(12 or 13)-methylmyristate (a15:0 or i15:0),1.0000081062316895
905,glycochenodeoxycholate,1.0000076293945312
908,caprylate (8:0),1.0000064373016357
912,1-dihomo-linoleoylglycerol (20:2),1.000004529953003
914,"N6,N6-dimethyllysine",1.0000030994415283
915,dehydrolithocholate,1.0000020265579224
920,5-acetylamino-6-amino-3-methyluracil,1.0000004768371582
921,thymidine,1.0000003576278687
